Protocol,Category,Change 1d,Change 7d,Change 1m,Total 1d,Total 7d,Total 1m,Revenue 24h,Revenue 7d,Revenue 30d
Xena Finance,Derivatives,,,,0,,,,,
Monocerus,Dexes,,,,0,0,0,,,
CaviarNine,Dexes,-49.977179370150616,,,135904,1636154,6908370,,,
Ociswap,Dexes,-29.982079707824287,,,102759,1000224,3996635,,,
DX25,Dexes,15.19,,-90.92,91,332,1682,,,
Primex Finance,Derivatives,0.99,-5.87,88.69,1027084,7050021,23628555,,,
Zebra,Dexes,-37.66874734065795,,,435079,5173792,31686423,,,
CandySwap,Dexes,,,,698,1802,19330,,,
Swapsicle,Dexes,-39.612833841190174,,,3369,56707,1101177,,,
Elektrik,Dexes,,,,0,,,,,
Voodoo Trade,Derivatives,,,,,,,,,
Xfai,Dexes,-44.71,7.48,-53.15,4414,84912,392987,,,
Chimp Exchange,Dexes,-41.89,,,265,1093,5295,,,
Chainflip,Dexes,,,-100,0,0,21667310,,,
Ascent Exchange,Dexes,-47.41558501547416,,,22768,116657,336414,,,
StarkDeFI,Dexes,-0.55,46.33,-12.86,6093,61862,344892,,,
Astrolescent,Dexes,-58.9,-75.17,-23.48,5184,114705,894057,,,
Ryze.Fi,Derivatives,,,,0,0,0,,,
KIM Exchange,Dexes,766.651794008318,,,5924267,11932658,168379590,,,
Butter.xyz,Dexes,,,-100,0,,14198,,,
Pharaoh Exchange,Dexes,-6.051201814137105,,,8178210,61256849,313971427,,,
JIBSWAP,Dexes,-99.72,-98.48,-99.25,1,4431,9936,,,
Cleopatra Exchange,Dexes,-68.62407246148982,,,2842152,45586168,120337031,,,
Cauldron,Dexes,37.61,69.8,637.58,5554,38360,92988,,,
Merchant Moe,Dexes,-99.20818169145103,,,144500,110747762,389824759,,,
SquadSwap,Dexes,899.4303326068529,,,8359765,19295344,141735231,,,
ICDex,Dexes,-21.51,-62.59,-51.4,30474,456989,3841971,,,
Horiza,Dexes,-100,-100,-100,0,284,3132,,,
Nostra,Dexes,-30.326822708936348,,,855974,11019372,65930860,,,
GammaSwap Protocol,Options,-36.13260861740038,,,17743,342980,2312444,,,
Nile Exchange,Dexes,-51.05104396342688,,,1825077,25421351,127050570,,,
Lexer Markets,Derivatives,,,,0,17733,28222,,,
SwapMode,Dexes,-13.89,64.85,-44.6,5491,66492,326448,,,
SupSwap,Dexes,18.928070747921872,,,10459926,61773606,309406339,,,
Omnidrome,Dexes,,,,0,0,0,,,
EddyFinance,Dexes,-9.55,14.76,148.26,124423,1006070,5847218,,,
Econia,Dexes,-26.47,-37.14,-30.9,739652,6063583,39813138,,,
DragonSwap,Dexes,-47.71524124549345,,,1543204,16921774,50667292,,,
JediSwap,Dexes,-13.544028504002592,,,18684,150756,3824028,,,
Standard Protocol,Dexes,,,,,,,,,
MerlinSwap,Dexes,52.89,-15.16,-31.08,616396,4492487,30163654,,,
Cellana Finance,Dexes,28.02,-14.17,53.66,29068356,156637656,617246016,,,
Thruster,Dexes,-72.86643981897876,,,5795888,64165894,346479939,,,
BladeSwap,Dexes,-56.7399987440297,,,365101,4372094,23510412,,,
Moraswap,Dexes,,,,,,141,,,
ArthSwap,Dexes,-73.13361864003805,,,565,21067,144741,,,
Infusion,Dexes,-32.3,-17.34,-6.68,13358,162525,955999,,,
Blasterswap,Dexes,-45.04320169626292,,,51838,409479,40970600,,,
WarpGate,Dexes,0.88,-75.37,35.29,115,1021,16012,,,
Glyph Exchange,Dexes,-23.32831743341758,,,52481,526083,3722576,,,
Javsphere,Yield,-62.1,661.77,889.37,11259,49486,265464,,,
